date,Team_1,Team_2,Winner,Margin,Ground
4-Jan-10,Bangladesh,Sri Lanka,Sri Lanka,7 wickets,Dhaka
5-Jan-10,India,Sri Lanka,Sri Lanka,5 wickets,Dhaka
7-Jan-10,Bangladesh,India,India,6 wickets,Dhaka
8-Jan-10,Bangladesh,Sri Lanka,Sri Lanka,9 wickets,Dhaka
10-Jan-10,India,Sri Lanka,India,8 wickets,Dhaka
11-Jan-10,Bangladesh,India,India,6 wickets,Dhaka
13-Jan-10,India,Sri Lanka,Sri Lanka,4 wickets,Dhaka
22-Jan-10,Australia,Pakistan,Australia,5 wickets,Brisbane
24-Jan-10,Australia,Pakistan,Australia,140 runs,Sydney
26-Jan-10,Australia,Pakistan,Australia,40 runs,Adelaide
29-Jan-10,Australia,Pakistan,Australia,135 runs,Perth
31-Jan-10,Australia,Pakistan,Australia,2 wickets,Perth
5-Feb-10,New Zealand,Bangladesh,New Zealand,146 runs,Napier
7-Feb-10,Australia,West Indies,Australia,113 runs,Melbourne
8-Feb-10,New Zealand,Bangladesh,New Zealand,5 wickets,Dunedin
9-Feb-10,Australia,West Indies,Australia,8 wickets,Adelaide
11-Feb-10,New Zealand,Bangladesh,New Zealand,3 wickets,Christchurch
12-Feb-10,Australia,West Indies,no result,,Sydney
14-Feb-10,Australia,West Indies,Australia,50 runs,Brisbane
16-Feb-10,Kenya,Netherlands,Kenya,6 wickets,Nairobi (Gym)
16-Feb-10,Afghanistan,Canada,Afghanistan,1 run,Sharjah
18-Feb-10,Kenya,Netherlands,Netherlands,80 runs,Nairobi (Gym)
18-Feb-10,Afghanistan,Canada,Canada,4 wickets,Sharjah
19-Feb-10,Australia,West Indies,Australia,125 runs,Melbourne
21-Feb-10,India,South Africa,India,1 run,Jaipur
24-Feb-10,India,South Africa,India,153 runs,Gwalior
27-Feb-10,India,South Africa,South Africa,90 runs,Ahmedabad
28-Feb-10,Bangladesh,England,England,6 wickets,Dhaka
2-Mar-10,Bangladesh,England,England,2 wickets,Dhaka
3-Mar-10,New Zealand,Australia,New Zealand,2 wickets,Napier
4-Mar-10,West Indies,Zimbabwe,Zimbabwe,2 runs,Providence
5-Mar-10,Bangladesh,England,England,45 runs,Chittagong
6-Mar-10,New Zealand,Australia,Australia,12 runs,Auckland
6-Mar-10,West Indies,Zimbabwe,West Indies,4 wickets,Providence
9-Mar-10,New Zealand,Australia,Australia,6 wickets,Hamilton
10-Mar-10,West Indies,Zimbabwe,West Indies,141 runs,Kingstown
11-Mar-10,New Zealand,Australia,Australia,6 wickets,Auckland
12-Mar-10,West Indies,Zimbabwe,West Indies,4 wickets,Kingstown
13-Mar-10,New Zealand,Australia,New Zealand,51 runs,Wellington
14-Mar-10,West Indies,Zimbabwe,West Indies,4 wickets,Kingstown
13-Apr-10,West Indies,Canada,West Indies,208 runs,Kingston
15-Apr-10,West Indies,Ireland,West Indies,6 wickets,Kingston
22-May-10,West Indies,South Africa,South Africa,66 runs,North Sound
24-May-10,West Indies,South Africa,South Africa,17 runs,North Sound
28-May-10,Zimbabwe,India,Zimbabwe,6 wickets,Bulawayo
28-May-10,West Indies,South Africa,South Africa,67 runs,Roseau
30-May-10,India,Sri Lanka,India,7 wickets,Bulawayo
30-May-10,West Indies,South Africa,South Africa,7 wickets,Roseau
1-Jun-10,Zimbabwe,Sri Lanka,Sri Lanka,9 wickets,Bulawayo
3-Jun-10,Zimbabwe,India,Zimbabwe,7 wickets,Harare
3-Jun-10,West Indies,South Africa,South Africa,1 wicket,Port of Spain
5-Jun-10,India,Sri Lanka,Sri Lanka,6 wickets,Harare
7-Jun-10,Zimbabwe,Sri Lanka,Zimbabwe,8 wickets,Harare
9-Jun-10,Zimbabwe,Sri Lanka,Sri Lanka,9 wickets,Harare
15-Jun-10,Sri Lanka,Pakistan,Sri Lanka,16 runs,Dambulla
15-Jun-10,Netherlands,Scotland,Netherlands,6 wickets,Rotterdam
16-Jun-10,Bangladesh,India,India,6 wickets,Dambulla
17-Jun-10,Ireland,Australia,Australia,39 runs,Dublin
18-Jun-10,Sri Lanka,Bangladesh,Sri Lanka,126 runs,Dambulla
19-Jun-10,India,Pakistan,India,3 wickets,Dambulla
19-Jun-10,Scotland,England,England,7 wickets,Edinburgh
21-Jun-10,Bangladesh,Pakistan,Pakistan,139 runs,Dambulla
22-Jun-10,Sri Lanka,India,Sri Lanka,7 wickets,Dambulla
22-Jun-10,England,Australia,England,4 wickets,Southampton
24-Jun-10,Sri Lanka,India,India,81 runs,Dambulla
24-Jun-10,England,Australia,England,4 wickets,Cardiff
27-Jun-10,England,Australia,England,1 wicket,Manchester
30-Jun-10,England,Australia,Australia,78 runs,The Oval
1-Jul-10,Afghanistan,Canada,Afghanistan,6 wickets,The Hague
1-Jul-10,Ireland,Kenya,Ireland,7 wickets,Rotterdam
1-Jul-10,Netherlands,Scotland,Scotland,1 wicket,Amstelveen
"Jul 3-4, 2010",Afghanistan,Ireland,Ireland,39 runs,Rotterdam
3-Jul-10,Canada,Scotland,Scotland,69 runs,Amstelveen
3-Jul-10,Netherlands,Kenya,Netherlands,117 runs,The Hague
3-Jul-10,England,Australia,Australia,42 runs,Lord's
5-Jul-10,Afghanistan,Kenya,Afghanistan,1 wicket,Amstelveen
5-Jul-10,Ireland,Scotland,Ireland,5 wickets,The Hague
5-Jul-10,Netherlands,Canada,Netherlands,7 wickets,Rotterdam
7-Jul-10,Canada,Ireland,Ireland,5 wickets,Amstelveen
7-Jul-10,Kenya,Scotland,Scotland,6 runs,Rotterdam
7-Jul-10,Netherlands,Afghanistan,Afghanistan,6 wickets,The Hague
8-Jul-10,England,Bangladesh,England,6 wickets,Nottingham
9-Jul-10,Afghanistan,Scotland,Scotland,2 wickets,Rotterdam
9-Jul-10,Canada,Kenya,Canada,6 wickets,Schiedam
9-Jul-10,Netherlands,Ireland,Ireland,39 runs,Amstelveen
10-Jul-10,Canada,Kenya,Canada,3 wickets,Schiedam
10-Jul-10,Ireland,Scotland,Ireland,6 wickets,Amstelveen
10-Jul-10,Netherlands,Afghanistan,Afghanistan,5 wickets,Rotterdam
10-Jul-10,England,Bangladesh,Bangladesh,5 runs,Bristol
12-Jul-10,England,Bangladesh,England,144 runs,Birmingham
15-Jul-10,Ireland,Bangladesh,Ireland,7 wickets,Belfast
16-Jul-10,Ireland,Bangladesh,Bangladesh,6 wickets,Belfast
20-Jul-10,Bangladesh,Netherlands,Netherlands,6 wickets,Glasgow
10-Aug-10,India,New Zealand,New Zealand,200 runs,Dambulla
13-Aug-10,Sri Lanka,New Zealand,Sri Lanka,3 wickets,Dambulla
16-Aug-10,Sri Lanka,India,India,6 wickets,Dambulla
16-Aug-10,Scotland,Afghanistan,Afghanistan,9 wickets,Ayr
16-Aug-10,Ireland,Netherlands,Ireland,70 runs,Dublin
17-Aug-10,Scotland,Afghanistan,Scotland,6 wickets,Ayr
