,Unnamed: 0,subject,attention,solutions,score
0,0,1,divided,1,2.0
1,1,2,divided,1,3.0
2,2,3,divided,1,3.0
3,3,4,divided,1,5.0
4,4,5,divided,1,4.0
5,5,6,divided,1,5.0
6,6,7,divided,1,5.0
7,7,8,divided,1,5.0
8,8,9,divided,1,2.0
9,9,10,divided,1,6.0
10,10,11,focused,1,6.0
11,11,12,focused,1,8.0
12,12,13,focused,1,6.0
13,13,14,focused,1,8.0
14,14,15,focused,1,8.0
15,15,16,focused,1,6.0
16,16,17,focused,1,7.0
17,17,18,focused,1,7.0
18,18,19,focused,1,5.0
19,19,20,focused,1,6.0
20,20,1,divided,2,4.0
21,21,2,divided,2,4.0
22,22,3,divided,2,5.0
23,23,4,divided,2,7.0
24,24,5,divided,2,5.0
25,25,6,divided,2,5.0
26,26,7,divided,2,4.5
27,27,8,divided,2,7.0
28,28,9,divided,2,3.0
29,29,10,divided,2,5.0
30,30,11,focused,2,5.0
31,31,12,focused,2,9.0
32,32,13,focused,2,5.0
33,33,14,focused,2,8.0
34,34,15,focused,2,8.0
35,35,16,focused,2,8.0
36,36,17,focused,2,7.0
37,37,18,focused,2,8.0
38,38,19,focused,2,6.0
39,39,20,focused,2,6.0
40,40,1,divided,3,7.0
41,41,2,divided,3,5.0
42,42,3,divided,3,6.0
43,43,4,divided,3,5.0
44,44,5,divided,3,8.0
45,45,6,divided,3,6.0
46,46,7,divided,3,6.0
47,47,8,divided,3,8.0
48,48,9,divided,3,7.0
49,49,10,divided,3,6.0
50,50,11,focused,3,6.0
51,51,12,focused,3,8.0
52,52,13,focused,3,9.0
53,53,14,focused,3,7.0
54,54,15,focused,3,7.0
55,55,16,focused,3,7.0
56,56,17,focused,3,6.0
57,57,18,focused,3,6.0
58,58,19,focused,3,6.0
59,59,20,focused,3,5.0
